language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Georgian	kat	geo	ka	http://purl.obolibrary.org/obo/OMRSE_00000635	KAT
Yoruba	yor	yor	yo	http://purl.obolibrary.org/obo/OMRSE_00000914	YOR
Ndebele, South	nbl	nbl	nr	http://purl.obolibrary.org/obo/OMRSE_00000769	NBL
Chinese	zho	chi	zh	http://purl.obolibrary.org/obo/OMRSE_00000571	ZHO
Hungarian	hun	hun	hu	http://purl.obolibrary.org/obo/OMRSE_00000666	HUN
Komi	kom	kom	kv	http://purl.obolibrary.org/obo/OMRSE_00000705	KOM
Tajik	tgk	tgk	tg	http://purl.obolibrary.org/obo/OMRSE_00000870	TGK
Urdu	urd	urd	ur	http://purl.obolibrary.org/obo/OMRSE_00000897	URD
Ndonga	ndo	ndo	ng	http://purl.obolibrary.org/obo/OMRSE_00000771	NDO
Low German	nds	nds		http://purl.obolibrary.org/obo/OMRSE_00000772	NDS
Susu	sus	sus		http://purl.obolibrary.org/obo/OMRSE_00000857	SUS
Gaelic	gla	gla	gd	http://purl.obolibrary.org/obo/OMRSE_00000638	GLA
Aymara	aym	aym	ay	http://purl.obolibrary.org/obo/OMRSE_00000536	AYM
Nepal Bhasa	new	new		http://purl.obolibrary.org/obo/OMRSE_00000774	NEW
Mende	men	men		http://purl.obolibrary.org/obo/OMRSE_00000751	MEN
Uzbek	uzb	uzb	uz	http://purl.obolibrary.org/obo/OMRSE_00000898	UZB
Thai	tha	tha	th	http://purl.obolibrary.org/obo/OMRSE_00000872	THA
Zulu	zul	zul	zu	http://purl.obolibrary.org/obo/OMRSE_00000920	ZUL
Fang	fan	fan		http://purl.obolibrary.org/obo/OMRSE_00000616	FAN
Soninke	snk	snk		http://purl.obolibrary.org/obo/OMRSE_00000845	SNK
Pedi	nso	nso		http://purl.obolibrary.org/obo/OMRSE_00000783	NSO
Tok Pisin	tpi	tpi		http://purl.obolibrary.org/obo/OMRSE_00000882	TPI
Sicilian	scn	scn		http://purl.obolibrary.org/obo/OMRSE_00000828	SCN
Kazakh	kaz	kaz	kk	http://purl.obolibrary.org/obo/OMRSE_00000695	KAZ
